	0,486753	2,279142	1,809092	0,264048	1,335809	0,843876	0,301745	1,671762
	0,474006	2,276593	1,803995	0,269145	1,346006	0,848974	0,306844	1,674311
	0,474006	2,271496	1,811641	0,264048	1,346006	0,854072	0,306844	1,674311
	0,489303	2,276593	1,809092	0,256401	1,333259	0,841327	0,304294	1,676860
	0,486753	2,284239	1,809092	0,261499	1,333259	0,841327	0,306844	1,669212
	0,481654	2,276593	1,816737	0,269145	1,338358	0,846425	0,301745	1,669212
	0,474006	2,271496	1,811641	0,264048	1,340908	0,856620	0,317042	1,676860
	0,474006	2,268947	1,809092	0,264048	1,340908	0,856620	0,314492	1,674311
	0,489303	2,281691	1,809092	0,261499	1,333259	0,841327	0,301745	1,669212
	0,481654	2,281691	1,809092	0,264048	1,333259	0,841327	0,306844	1,674311
	0,474006	2,274044	1,811641	0,264048	1,343457	0,856620	0,309393	1,681959
	0,481654	2,274044	1,814189	0,271694	1,340908	0,848974	0,301745	1,674311
	0,474006	2,266398	1,809092	0,261499	1,343457	0,851523	0,306844	1,671762
	0,474006	2,276593	1,809092	0,269145	1,343457	0,846425	0,306844	1,669212
	0,481654	2,276593	1,814189	0,264048	1,348556	0,846425	0,309393	1,671762
	0,486753	2,274044	1,811641	0,264048	1,333259	0,848974	0,304294	1,666663
	0,484204	2,276593	1,806544	0,258950	1,338358	0,841327	0,301745	1,671762
	0,486753	2,274044	1,809092	0,258950	1,333259	0,848974	0,309393	1,674311
	0,481654	2,276593	1,806544	0,269145	1,346006	0,848974	0,306844	1,669212
	0,486753	2,276593	1,809092	0,258950	1,340908	0,841327	0,309393	1,671762
	0,474006	2,274044	1,809092	0,269145	1,338358	0,851523	0,306844	1,674311
	0,481654	2,274044	1,814189	0,271694	1,338358	0,846425	0,301745	1,666663
	0,474006	2,276593	1,806544	0,269145	1,340908	0,848974	0,306844	1,671762
	0,479105	2,281691	1,806544	0,264048	1,343457	0,841327	0,309393	1,669212
	0,486753	2,274044	1,806544	0,256401	1,330710	0,846425	0,309393	1,674311
	0,474006	2,276593	1,806544	0,261499	1,346006	0,851523	0,306844	1,669212
	0,481654	2,279142	1,803995	0,258950	1,333259	0,841327	0,306844	1,674311
	0,486753	2,274044	1,806544	0,258950	1,333259	0,846425	0,309393	1,681959
	0,479105	2,274044	1,798898	0,258950	1,333259	0,846425	0,314492	1,681959
	0,481654	2,268947	1,798898	0,264048	1,338358	0,854072	0,311943	1,679409
	0,474006	2,271496	1,806544	0,264048	1,348556	0,854072	0,306844	1,671762
	0,479105	2,281691	1,811641	0,264048	1,338358	0,841327	0,301745	1,671762
